date,file name,transect,bed,start lat,start long,end lat,end long,id,left,top,right,bottom
6/23/2023,Robbed0032,1,downstream,44.836105000000003,-75.299843,44.837497999999997,-75.299403,113,2031.803288358089048,4984101.068918390199542,2061.803288358089048,4984071.068918391130865
6/23/2023,Robbed0032,1,downstream,44.836105000000003,-75.299843,44.837497999999997,-75.299403,144,2061.803288358089048,4984221.068918390199542,2091.803288358089048,4984191.068918390199542
6/23/2023,Robbed0032,1,downstream,44.836105000000003,-75.299843,44.837497999999997,-75.299403,145,2061.803288358089048,4984191.068918390199542,2091.803288358089048,4984161.068918390199542
6/23/2023,Robbed0033,2,downstream,44.836117999999999,-75.299753,44.837564999999998,-75.299268,145,2061.803288358089048,4984191.068918390199542,2091.803288358089048,4984161.068918390199542
6/23/2023,Robbed0032,1,downstream,44.836105000000003,-75.299843,44.837497999999997,-75.299403,146,2061.803288358089048,4984161.068918390199542,2091.803288358089048,4984131.068918390199542
6/23/2023,Robbed0033,2,downstream,44.836117999999999,-75.299753,44.837564999999998,-75.299268,146,2061.803288358089048,4984161.068918390199542,2091.803288358089048,4984131.068918390199542
6/23/2023,Robbed0034,3,downstream,44.836092000000001,-75.29969,44.837448000000002,-75.29918,146,2061.803288358089048,4984161.068918390199542,2091.803288358089048,4984131.068918390199542
6/23/2023,Robbed0032,1,downstream,44.836105000000003,-75.299843,44.837497999999997,-75.299403,147,2061.803288358089048,4984131.068918390199542,2091.803288358089048,4984101.068918390199542
6/23/2023,Robbed0033,2,downstream,44.836117999999999,-75.299753,44.837564999999998,-75.299268,147,2061.803288358089048,4984131.068918390199542,2091.803288358089048,4984101.068918390199542
6/23/2023,Robbed0034,3,downstream,44.836092000000001,-75.29969,44.837448000000002,-75.29918,147,2061.803288358089048,4984131.068918390199542,2091.803288358089048,4984101.068918390199542
6/23/2023,Robbed0036,4,downstream,44.835973000000003,-75.29956,44.837449999999997,-75.299025,147,2061.803288358089048,4984131.068918390199542,2091.803288358089048,4984101.068918390199542
6/23/2023,Robbed0032,1,downstream,44.836105000000003,-75.299843,44.837497999999997,-75.299403,148,2061.803288358089048,4984101.068918390199542,2091.803288358089048,4984071.068918391130865
6/23/2023,Robbed0033,2,downstream,44.836117999999999,-75.299753,44.837564999999998,-75.299268,148,2061.803288358089048,4984101.068918390199542,2091.803288358089048,4984071.068918391130865
6/23/2023,Robbed0034,3,downstream,44.836092000000001,-75.29969,44.837448000000002,-75.29918,148,2061.803288358089048,4984101.068918390199542,2091.803288358089048,4984071.068918391130865
6/23/2023,Robbed0036,4,downstream,44.835973000000003,-75.29956,44.837449999999997,-75.299025,148,2061.803288358089048,4984101.068918390199542,2091.803288358089048,4984071.068918391130865
6/23/2023,Robbed0037,5,downstream,44.835892999999999,-75.299495,44.837361999999999,-75.29898,148,2061.803288358089048,4984101.068918390199542,2091.803288358089048,4984071.068918391130865
6/23/2023,Robbed0036,4,downstream,44.835973000000003,-75.29956,44.837449999999997,-75.299025,149,2061.803288358089048,4984071.068918391130865,2091.803288358089048,4984041.068918390199542
6/23/2023,Robbed0037,5,downstream,44.835892999999999,-75.299495,44.837361999999999,-75.29898,149,2061.803288358089048,4984071.068918391130865,2091.803288358089048,4984041.068918390199542
6/23/2023,Robbed0032,1,downstream,44.836105000000003,-75.299843,44.837497999999997,-75.299403,178,2091.803288358089048,4984251.068918390199542,2121.803288358089048,4984221.068918390199542
6/23/2023,Robbed0033,2,downstream,44.836117999999999,-75.299753,44.837564999999998,-75.299268,178,2091.803288358089048,4984251.068918390199542,2121.803288358089048,4984221.068918390199542
6/23/2023,Robbed0034,3,downstream,44.836092000000001,-75.29969,44.837448000000002,-75.29918,178,2091.803288358089048,4984251.068918390199542,2121.803288358089048,4984221.068918390199542
6/23/2023,Robbed0032,1,downstream,44.836105000000003,-75.299843,44.837497999999997,-75.299403,179,2091.803288358089048,4984221.068918390199542,2121.803288358089048,4984191.068918390199542
6/23/2023,Robbed0033,2,downstream,44.836117999999999,-75.299753,44.837564999999998,-75.299268,179,2091.803288358089048,4984221.068918390199542,2121.803288358089048,4984191.068918390199542
6/23/2023,Robbed0034,3,downstream,44.836092000000001,-75.29969,44.837448000000002,-75.29918,179,2091.803288358089048,4984221.068918390199542,2121.803288358089048,4984191.068918390199542
6/23/2023,Robbed0036,4,downstream,44.835973000000003,-75.29956,44.837449999999997,-75.299025,179,2091.803288358089048,4984221.068918390199542,2121.803288358089048,4984191.068918390199542
6/23/2023,Robbed0033,2,downstream,44.836117999999999,-75.299753,44.837564999999998,-75.299268,180,2091.803288358089048,4984191.068918390199542,2121.803288358089048,4984161.068918390199542
6/23/2023,Robbed0034,3,downstream,44.836092000000001,-75.29969,44.837448000000002,-75.29918,180,2091.803288358089048,4984191.068918390199542,2121.803288358089048,4984161.068918390199542
6/23/2023,Robbed0036,4,downstream,44.835973000000003,-75.29956,44.837449999999997,-75.299025,180,2091.803288358089048,4984191.068918390199542,2121.803288358089048,4984161.068918390199542
6/23/2023,Robbed0037,5,downstream,44.835892999999999,-75.299495,44.837361999999999,-75.29898,180,2091.803288358089048,4984191.068918390199542,2121.803288358089048,4984161.068918390199542
6/23/2023,Robbed0034,3,downstream,44.836092000000001,-75.29969,44.837448000000002,-75.29918,181,2091.803288358089048,4984161.068918390199542,2121.803288358089048,4984131.068918390199542
6/23/2023,Robbed0036,4,downstream,44.835973000000003,-75.29956,44.837449999999997,-75.299025,181,2091.803288358089048,4984161.068918390199542,2121.803288358089048,4984131.068918390199542
