date,transect,file_name,bed,lat,long,count,on_gravel,notes,id,left,top,right,bottom
6/17/2011,"9",M2U00669.MPG,Upstream,44.83069,-75.3004,"1",,,28,1941.803288358089048,4983501.068918390199542,1971.803288358089048,4983471.068918390199542
5/25/2011,"9",M2U00530.MPG,Upstream,44.83177,-75.3002,"1",,,59,1971.803288358089048,4983621.068918390199542,2001.803288358089048,4983591.068918391130865
5/31/2011,"7",M2U00546.MPG,Upstream,44.83171,-75.3001,"1",,,59,1971.803288358089048,4983621.068918390199542,2001.803288358089048,4983591.068918391130865
6/10/2011,"8",M2U00618.MPG,Upstream,44.83153,-75.3002,"1",,,60,1971.803288358089048,4983591.068918391130865,2001.803288358089048,4983561.068918390199542
5/19/2011,"8",M2U00516.MPG,Upstream,44.8312,-75.3003,"1",,,61,1971.803288358089048,4983561.068918390199542,2001.803288358089048,4983531.068918390199542
5/21/2012,"6",M2U00736.MPG,Upstream,44.83114167,-75.300008,"1",,,61,1971.803288358089048,4983561.068918390199542,2001.803288358089048,4983531.068918390199542
5/23/2012,"8",M2U00756.MPG,Upstream,44.83122667,-75.300347,"1",,,61,1971.803288358089048,4983561.068918390199542,2001.803288358089048,4983531.068918390199542
5/25/2011,"6",M2U00527.MPG,Upstream,44.83084,-75.3,"1",,,62,1971.803288358089048,4983531.068918390199542,2001.803288358089048,4983501.068918390199542
5/25/2011,"6",M2U00527.MPG,Upstream,44.83105,-75.3,"2",,,62,1971.803288358089048,4983531.068918390199542,2001.803288358089048,4983501.068918390199542
5/31/2011,"6",M2U00545.MPG,Upstream,44.83085,-75.3,"1",,,62,1971.803288358089048,4983531.068918390199542,2001.803288358089048,4983501.068918390199542
5/31/2011,"6",M2U00545.MPG,Upstream,44.83105,-75.3,"1",,,62,1971.803288358089048,4983531.068918390199542,2001.803288358089048,4983501.068918390199542
6/6/2011,"6",M2U00578.MPG,Upstream,44.8311,-75.3,"1",,4:36 into transect,62,1971.803288358089048,4983531.068918390199542,2001.803288358089048,4983501.068918390199542
5/25/2012,"7",M2U00772.MPG,Upstream,44.83092833,-75.300123,"1",,,62,1971.803288358089048,4983531.068918390199542,2001.803288358089048,4983501.068918390199542
6/6/2011,"6",M2U00578.MPG,Upstream,44.83067,-75.3,"2",,3:55 into transect,63,1971.803288358089048,4983501.068918390199542,2001.803288358089048,4983471.068918390199542
6/10/2011,"6",M2U00616.MPG,Upstream,44.83057,-75.3,"1",,,63,1971.803288358089048,4983501.068918390199542,2001.803288358089048,4983471.068918390199542
6/10/2011,"6",M2U00616.MPG,Upstream,44.83072,-75.3,"1",,,63,1971.803288358089048,4983501.068918390199542,2001.803288358089048,4983471.068918390199542
6/10/2011,"6",M2U00616.MPG,Upstream,44.8308,-75.3,"1",,,63,1971.803288358089048,4983501.068918390199542,2001.803288358089048,4983471.068918390199542
6/10/2011,"7",M2U00617.MPG,Upstream,44.8307,-75.3001,"1",,,63,1971.803288358089048,4983501.068918390199542,2001.803288358089048,4983471.068918390199542
5/21/2012,"6",M2U00736.MPG,Upstream,44.830585,-75.299973,"2",,,63,1971.803288358089048,4983501.068918390199542,2001.803288358089048,4983471.068918390199542
5/21/2012,"8",M2U00738.MPG,Upstream,44.83081667,-75.300267,"1",,,63,1971.803288358089048,4983501.068918390199542,2001.803288358089048,4983471.068918390199542
5/31/2011,"5",M2U00544.MPG,Upstream,44.83228,-75.2998,"1",,,92,2001.803288358089048,4983681.068918390199542,2031.803288358089048,4983651.068918390199542
5/31/2011,"7",M2U00546.MPG,Upstream,44.83237,-75.3001,"2",,,92,2001.803288358089048,4983681.068918390199542,2031.803288358089048,4983651.068918390199542
6/10/2011,"6",M2U00616.MPG,Upstream,44.83221,-75.3,"1",,,92,2001.803288358089048,4983681.068918390199542,2031.803288358089048,4983651.068918390199542
5/31/2011,"4",M2U00543.MPG,Upstream,44.83197,-75.2998,"1",,,93,2001.803288358089048,4983651.068918390199542,2031.803288358089048,4983621.068918390199542
6/15/2011,"5",M2U00649.MPG,Upstream,44.83183,-75.2998,"1",,,94,2001.803288358089048,4983621.068918390199542,2031.803288358089048,4983591.068918391130865
5/25/2011,"5",M2U00526.MPG,Upstream,44.83151,-75.2999,"1",,,95,2001.803288358089048,4983591.068918391130865,2031.803288358089048,4983561.068918390199542
5/31/2011,"6",M2U00545.MPG,Upstream,44.83145,-75.3,"1",,,95,2001.803288358089048,4983591.068918391130865,2031.803288358089048,4983561.068918390199542
5/30/2012,"4",M2U00802.MPG,Upstream,44.83146833,-75.299743,"1",,,95,2001.803288358089048,4983591.068918391130865,2031.803288358089048,4983561.068918390199542
5/30/2012,"5",M2U00803.MPG,Upstream,44.83139167,-75.29991,"1",,,95,2001.803288358089048,4983591.068918391130865,2031.803288358089048,4983561.068918390199542
5/19/2011,"4",M2U00512.MPG,Upstream,44.83127,-75.2998,"1",,,96,2001.803288358089048,4983561.068918390199542,2031.803288358089048,4983531.068918390199542
5/19/2011,"5",M2U00513.MPG,Upstream,44.83118,-75.3,"1",,,96,2001.803288358089048,4983561.068918390199542,2031.803288358089048,4983531.068918390199542
5/25/2011,"5",M2U00526.MPG,Upstream,44.83115,-75.2999,"2",,,96,2001.803288358089048,4983561.068918390199542,2031.803288358089048,4983531.068918390199542
5/31/2011,"6",M2U00545.MPG,Upstream,44.83126,-75.3,"2",,,96,2001.803288358089048,4983561.068918390199542,2031.803288358089048,4983531.068918390199542
6/6/2011,"6",M2U00578.MPG,Upstream,44.83132,-75.3,"1",,4:56 into transect,96,2001.803288358089048,4983561.068918390199542,2031.803288358089048,4983531.068918390199542
6/8/2011,"5",M2U00595.MPG,Upstream,44.83115,-75.2999,"2",,,96,2001.803288358089048,4983561.068918390199542,2031.803288358089048,4983531.068918390199542
5/17/2012,"4",M2U00722.MPG,Upstream,44.83115667,-75.299695,"1",,,96,2001.803288358089048,4983561.068918390199542,2031.803288358089048,4983531.068918390199542
5/23/2012,"4",M2U00752.MPG,Upstream,44.83126333,-75.299757,"1",,,96,2001.803288358089048,4983561.068918390199542,2031.803288358089048,4983531.068918390199542
5/23/2012,"6",M2U00754.MPG,Upstream,44.83126667,-75.299977,"1",,,96,2001.803288358089048,4983561.068918390199542,2031.803288358089048,4983531.068918390199542
